date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold
2020-05-04,2020-05-05,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-04-22,2020-05-04,0,5
2020-05-04,2020-05-05,NIFTY_METAL,RATNAMANI,1,MARKET_CAP_FILTER,2019-04-22,2020-05-04,0,5
2020-05-04,2020-05-05,NIFTY_METAL,APLAPOLLO,2,MARKET_CAP_FILTER,2019-04-22,2020-05-04,0,5
2020-05-04,2020-05-05,NIFTY_METAL,NATIONALUM,5,MARKET_CAP_FILTER,2019-04-22,2020-05-04,0,5
2020-05-04,2020-05-05,NIFTY_METAL,HINDCOPPER,10,MARKET_CAP_FILTER,2019-04-22,2020-05-04,0,5
2020-05-04,2020-05-05,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-04-22,2020-05-04,1,5
2020-05-06,2020-05-07,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-04-24,2020-05-06,0,5
2020-05-06,2020-05-07,NIFTY_METAL,RATNAMANI,1,MARKET_CAP_FILTER,2019-04-24,2020-05-06,0,5
2020-05-06,2020-05-07,NIFTY_METAL,APLAPOLLO,3,MARKET_CAP_FILTER,2019-04-24,2020-05-06,0,5
2020-05-06,2020-05-07,NIFTY_METAL,NATIONALUM,5,MARKET_CAP_FILTER,2019-04-24,2020-05-06,0,5
2020-05-06,2020-05-07,NIFTY_METAL,HINDCOPPER,10,MARKET_CAP_FILTER,2019-04-24,2020-05-06,0,5
2020-05-06,2020-05-07,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-04-24,2020-05-06,1,5
2020-05-08,2020-05-11,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-04-26,2020-05-08,0,5
2020-05-08,2020-05-11,NIFTY_METAL,RATNAMANI,1,MARKET_CAP_FILTER,2019-04-26,2020-05-08,0,5
2020-05-08,2020-05-11,NIFTY_METAL,APLAPOLLO,3,MARKET_CAP_FILTER,2019-04-26,2020-05-08,0,5
2020-05-08,2020-05-11,NIFTY_METAL,NATIONALUM,6,MARKET_CAP_FILTER,2019-04-26,2020-05-08,0,5
2020-05-08,2020-05-11,NIFTY_METAL,HINDCOPPER,10,MARKET_CAP_FILTER,2019-04-26,2020-05-08,0,5
2020-05-08,2020-05-11,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-04-26,2020-05-08,1,5
2020-05-12,2020-05-13,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-05-02,2020-05-12,0,5
2020-05-12,2020-05-13,NIFTY_METAL,RATNAMANI,1,MARKET_CAP_FILTER,2019-05-02,2020-05-12,0,5
2020-05-12,2020-05-13,NIFTY_METAL,APLAPOLLO,3,MARKET_CAP_FILTER,2019-05-02,2020-05-12,0,5
2020-05-12,2020-05-13,NIFTY_METAL,NATIONALUM,8,MARKET_CAP_FILTER,2019-05-02,2020-05-12,0,5
2020-05-12,2020-05-13,NIFTY_METAL,HINDCOPPER,9,MARKET_CAP_FILTER,2019-05-02,2020-05-12,0,5
2020-05-12,2020-05-13,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-05-02,2020-05-12,1,5
2020-05-14,2020-05-15,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-06,2020-05-14,0,5
2020-05-14,2020-05-15,NIFTY_METAL,RATNAMANI,1,MARKET_CAP_FILTER,2019-05-06,2020-05-14,0,5
2020-05-14,2020-05-15,NIFTY_METAL,APLAPOLLO,3,MARKET_CAP_FILTER,2019-05-06,2020-05-14,0,5
2020-05-14,2020-05-15,NIFTY_METAL,HINDCOPPER,7,MARKET_CAP_FILTER,2019-05-06,2020-05-14,0,5
2020-05-14,2020-05-15,NIFTY_METAL,NATIONALUM,8,MARKET_CAP_FILTER,2019-05-06,2020-05-14,0,5
2020-05-14,2020-05-15,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-05-06,2020-05-14,1,5
2020-05-18,2020-05-19,NIFTY_AUTO,APOLLOTYRE,10,MARKET_CAP_FILTER,2019-05-08,2020-05-18,0,5
2020-05-18,2020-05-19,NIFTY_METAL,RATNAMANI,2,MARKET_CAP_FILTER,2019-05-08,2020-05-18,0,5
2020-05-18,2020-05-19,NIFTY_METAL,APLAPOLLO,3,MARKET_CAP_FILTER,2019-05-08,2020-05-18,0,5
2020-05-18,2020-05-19,NIFTY_METAL,HINDCOPPER,5,MARKET_CAP_FILTER,2019-05-08,2020-05-18,0,5
2020-05-18,2020-05-19,NIFTY_METAL,NATIONALUM,7,MARKET_CAP_FILTER,2019-05-08,2020-05-18,0,5
2020-05-18,2020-05-19,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-05-08,2020-05-18,1,5
2020-05-20,2020-05-21,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-10,2020-05-20,0,5
2020-05-20,2020-05-21,NIFTY_METAL,APLAPOLLO,2,MARKET_CAP_FILTER,2019-05-10,2020-05-20,0,5
2020-05-20,2020-05-21,NIFTY_METAL,RATNAMANI,3,MARKET_CAP_FILTER,2019-05-10,2020-05-20,0,5
2020-05-20,2020-05-21,NIFTY_METAL,NATIONALUM,5,MARKET_CAP_FILTER,2019-05-10,2020-05-20,0,5
2020-05-20,2020-05-21,NIFTY_METAL,HINDCOPPER,8,MARKET_CAP_FILTER,2019-05-10,2020-05-20,0,5
2020-05-20,2020-05-21,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-05-10,2020-05-20,1,5
2020-05-21,2020-05-22,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,APLAPOLLO,2,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,RATNAMANI,3,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,NATIONALUM,7,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,HINDCOPPER,8,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-05-13,2020-05-21,1,5
2020-05-26,2020-05-27,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-15,2020-05-26,0,5
2020-05-26,2020-05-27,NIFTY_METAL,APLAPOLLO,2,MARKET_CAP_FILTER,2019-05-15,2020-05-26,0,5
2020-05-26,2020-05-27,NIFTY_METAL,RATNAMANI,3,MARKET_CAP_FILTER,2019-05-15,2020-05-26,0,5
2020-05-26,2020-05-27,NIFTY_METAL,NATIONALUM,9,MARKET_CAP_FILTER,2019-05-15,2020-05-26,0,5
2020-05-26,2020-05-27,NIFTY_METAL,HINDCOPPER,11,MARKET_CAP_FILTER,2019-05-15,2020-05-26,0,5
2020-05-26,2020-05-27,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-05-15,2020-05-26,1,5
2020-05-28,2020-05-29,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-17,2020-05-28,0,5
2020-05-28,2020-05-29,NIFTY_METAL,RATNAMANI,2,MARKET_CAP_FILTER,2019-05-17,2020-05-28,0,5
2020-05-28,2020-05-29,NIFTY_METAL,APLAPOLLO,3,MARKET_CAP_FILTER,2019-05-17,2020-05-28,0,5
