date,portfolio_value,daily_return,month,year
2020-05-05,998813.774,0.0,2020-05,2020
2020-05-06,977737.8849038745,-0.021100919555526176,2020-05,2020
2020-05-07,976428.4663300937,-0.0013392327268872961,2020-05,2020
2020-05-08,982346.7560571599,0.006061160577702118,2020-05,2020
2020-05-11,978450.8828392037,-0.0039658839345009245,2020-05,2020
2020-05-12,974512.396628122,-0.004025226283871586,2020-05,2020
2020-05-13,977365.4895608444,0.002927713328834347,2020-05,2020
2020-05-14,951251.0919750531,-0.026719172985660844,2020-05,2020
2020-05-15,948799.1541111406,-0.002577592693030817,2020-05,2020
2020-05-18,911762.4233502131,-0.039035374979464965,2020-05,2020
2020-05-19,912586.9061487438,0.0009042737202320517,2020-05,2020
2020-05-20,920458.1848500177,0.008625237386422624,2020-05,2020
2020-05-21,918347.9120017678,-0.0022926330418733265,2020-05,2020
2020-05-22,917596.7598773423,-0.0008179385117653704,2020-05,2020
2020-05-26,922648.4905505222,0.0055053928850568035,2020-05,2020
2020-05-27,922639.9296067077,-9.278662353229272e-06,2020-05,2020
2020-05-28,934937.7638794574,0.013328963854828846,2020-05,2020
2020-05-29,939975.9639905905,0.005388808010308166,2020-05,2020
