decision_date,execution_date,universe,action,symbol,reason,entry_date,entry_rank,exit_rank,score,price,quantity,gross_value,cost_value,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,transaction_cost,net_value,realized_pnl,rebalance_date,rank_before,rank_after,trade_value,entry_price,exit_price,notes,portfolio_value,cash_after,weight_after,weight_before
2020-05-04,2020-05-05,NIFTY_AUTO,BUY,MRF,INITIAL_ENTRY,2020-05-05,1,,0.9888037542502086,58056.8724963474,1.9115619469375376,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,1,,111111.11111111111,58056.8724963474,,NIFTY_AUTO,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_AUTO,BUY,BAJAJ-AUTO,INITIAL_ENTRY,2020-05-05,2,,0.8112624784310659,2134.3039185939965,51.99789367173698,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,2,,111111.11111111111,2134.3039185939965,,NIFTY_AUTO,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_AUTO,BUY,EXIDEIND,INITIAL_ENTRY,2020-05-05,3,,0.6775227561593056,143.39478917837727,773.9424065414852,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,3,,111111.11111111111,143.39478917837727,,NIFTY_AUTO,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_METAL,BUY,HINDZINC,INITIAL_ENTRY,2020-05-05,1,,0.9241232400139173,91.13235313688446,1217.7816593359203,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,1,,111111.11111111111,91.13235313688446,,NIFTY_METAL,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_METAL,BUY,COALINDIA,INITIAL_ENTRY,2020-05-05,2,,0.8638840913772583,86.42307167032571,1284.1398260590656,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,2,,111111.11111111111,86.42307167032571,,NIFTY_METAL,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_METAL,BUY,NMDC,INITIAL_ENTRY,2020-05-05,3,,0.6728673540055752,13.35688744062259,8308.770191826163,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,3,,111111.11111111111,13.35688744062259,,NIFTY_METAL,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_PHARMA,BUY,BIOCON,INITIAL_ENTRY,2020-05-05,1,,0.9189446270465851,362.7673378156524,305.9242016948577,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,1,,111111.11111111111,362.7673378156524,,NIFTY_PHARMA,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_PHARMA,BUY,DRREDDY,INITIAL_ENTRY,2020-05-05,2,,0.8965024724602699,766.4317443932638,144.79998908458262,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,2,,111111.11111111111,766.4317443932638,,NIFTY_PHARMA,998813.774,0.0,0.1111111111111111,
2020-05-04,2020-05-05,NIFTY_PHARMA,BUY,DIVISLAB,INITIAL_ENTRY,2020-05-05,3,,0.7597706342736881,2205.0884151106216,50.328733968998144,111111.11111111111,111111.11111111111,0.0,111.11111111111111,3.3,0.1111111111111111,0.614,16.666666666666664,131.8028888888889,110979.30822222221,0.0,2020-05-05,3,,111111.11111111111,2205.0884151106216,,NIFTY_PHARMA,998813.774,0.0,0.1111111111111111,
2020-05-05,2020-05-06,NIFTY_AUTO,SELL,BAJAJ-AUTO,RANK_EXIT,2020-05-05,2,2.0,0.8112624784310659,2131.587646484375,51.99789367173698,110838.06779388261,111111.11111111111,0.0,110.83806779388262,3.2918906134783135,0.11083806779388261,0.6124911626289953,0.0,114.85328763778381,110723.21450624483,-387.8966048662842,2020-05-06,2,2.0,110838.06779388261,,2131.587646484375,NIFTY_AUTO,977737.8849038745,219811.30440066027,0.0,
2020-05-05,2020-05-06,NIFTY_AUTO,SELL,EXIDEIND,RANK_EXIT,2020-05-05,3,3.0,0.6775227561593056,141.09738159179688,773.9424065414852,109201.24706585752,111111.11111111111,0.0,109.20124706585752,3.243277037855968,0.10920124706585752,0.6034460912859286,0.0,113.15717144206528,109088.08989441545,-2023.0212166956626,2020-05-06,3,3.0,109201.24706585752,,141.09738159179688,NIFTY_AUTO,977737.8849038745,219811.30440066027,0.0,
