date,universe,cash,stock_value,gold_value,total_value,holdings,month,year
2020-05-05,NIFTY_AUTO,0.0,332937.92466666666,0,332937.92466666666,"MRF,BAJAJ-AUTO,EXIDEIND",2020-05,2020
2020-05-05,NIFTY_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_FMCG,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_IT,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_MEDIA,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_METAL,0.0,332937.92466666666,0,332937.92466666666,"HINDZINC,COALINDIA,NMDC",2020-05,2020
2020-05-05,NIFTY_OIL_GAS,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_PHARMA,0.0,332937.92466666666,0,332937.92466666666,"BIOCON,DRREDDY,DIVISLAB",2020-05,2020
2020-05-05,NIFTY_PRIVATE_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_PSU_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_REALTY,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0,0.0,,2020-05,2020
2020-05-05,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_AUTO,219811.30440066027,110441.3128585903,0,330252.6172592506,MRF,2020-05,2020
2020-05-06,NIFTY_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_FMCG,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_IT,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_MEDIA,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_METAL,321572.5400849394,0.0,0,321572.5400849394,,2020-05,2020
2020-05-06,NIFTY_OIL_GAS,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_PHARMA,219062.25823240483,106850.46932727967,0,325912.7275596845,BIOCON,2020-05,2020
2020-05-06,NIFTY_PRIVATE_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_PSU_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_REALTY,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0,0.0,,2020-05,2020
2020-05-06,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_AUTO,0.0,364508.9528282596,0,364508.9528282596,"MRF,BAJAJ-AUTO,EXIDEIND",2020-05,2020
2020-05-07,NIFTY_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_FMCG,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_IT,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_MEDIA,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_METAL,0.0,253181.34725978723,0,253181.34725978723,"HINDZINC,COALINDIA,NMDC",2020-05,2020
2020-05-07,NIFTY_OIL_GAS,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_PHARMA,0.0,358738.16624204686,0,358738.16624204686,"DRREDDY,BIOCON,DIVISLAB",2020-05,2020
2020-05-07,NIFTY_PRIVATE_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_PSU_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_REALTY,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0,0.0,,2020-05,2020
2020-05-07,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_AUTO,251793.07810257742,111410.56437015391,0,363203.6424727313,MRF,2020-05,2020
2020-05-08,NIFTY_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_FMCG,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_IT,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_MEDIA,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_METAL,255495.8713584755,0.0,0,255495.8713584755,,2020-05,2020
2020-05-08,NIFTY_OIL_GAS,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_PHARMA,242277.29866749706,121369.94355845601,0,363647.2422259531,BIOCON,2020-05,2020
2020-05-08,NIFTY_PRIVATE_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_PSU_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_REALTY,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0,0.0,,2020-05,2020
2020-05-08,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_AUTO,0.0,360811.204594056,0,360811.204594056,"MRF,BAJAJ-AUTO,EXIDEIND",2020-05,2020
2020-05-11,NIFTY_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_FMCG,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_IT,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_MEDIA,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_METAL,0.0,249559.03105209916,0,249559.03105209916,"HINDZINC,COALINDIA,NMDC",2020-05,2020
2020-05-11,NIFTY_OIL_GAS,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_PHARMA,0.0,368080.64719304856,0,368080.64719304856,"DRREDDY,BIOCON,DIVISLAB",2020-05,2020
2020-05-11,NIFTY_PRIVATE_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_PSU_BANK,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_REALTY,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0,0.0,,2020-05,2020
2020-05-11,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0,0.0,,2020-05,2020
2020-05-12,NIFTY_AUTO,262303.27970893576,109058.78314750659,0,371362.06285644235,MRF,2020-05,2020
