universe,symbol,closed_invested_amount,closed_trades,average_closed_holding_days,max_closed_holding_days,realized_pnl,winning_trades,losing_trades,total_transaction_cost,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY_AUTO,BAJAJ-AUTO,1016619.2875083174,9.0,1.5555555555555556,4.0,-10602.291000016994,3.0,6.0,2249.4825448454167,105997.33483725239,105871.59804273774,-125.73679451465432,0.0,1122616.6223455698,-10728.027794531648,-0.009556270218159383
NIFTY_AUTO,EXIDEIND,771702.9700198784,7.0,1.4285714285714286,4.0,3367.877135799732,4.0,3.0,1719.3957976899062,0.0,0.0,0.0,0.0,771702.9700198784,3367.877135799732,0.004364214298297931
NIFTY_AUTO,HEROMOTOCO,244916.31748843903,2.0,2.0,3.0,-7700.175630852478,1.0,1.0,536.5906158868395,105997.33483725239,105871.59804273774,-125.73679451465432,0.0,350913.6523256914,-7825.9124253671325,-0.02230153307943606
NIFTY_AUTO,MRF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111111.11111111111,111861.32710472726,750.2159936161479,24.0,111111.11111111111,750.2159936161479,0.0067519439425453315
NIFTY_METAL,COALINDIA,543343.1163665609,6.0,1.3333333333333333,3.0,-18998.709352673657,0.0,6.0,1188.4306453982126,0.0,0.0,0.0,0.0,543343.1163665609,-18998.709352673657,-0.03496632013988076
NIFTY_METAL,HINDZINC,362119.6723797287,4.0,1.0,1.0,1585.1586158647988,3.0,1.0,806.827111063715,80048.13381773671,79020.5491413203,-1027.5846764164162,14.0,442167.8061974654,557.5739394483826,0.0012610007595156725
NIFTY_METAL,JINDALSTEL,104355.15695925518,1.0,1.0,1.0,9259.975070683504,1.0,0.0,241.64187664376863,105997.33483725239,105871.59804273774,-125.73679451465432,0.0,210352.49179650756,9134.23827616885,0.04342348501868568
NIFTY_METAL,JSWSTEEL,163277.5449922927,2.0,2.0,3.0,-12589.22918254498,0.0,2.0,349.9931914008789,0.0,0.0,0.0,0.0,163277.5449922927,-12589.22918254498,-0.07710324884624666
NIFTY_METAL,NMDC,687276.0205150347,7.0,1.4285714285714286,4.0,-2411.9774639266834,4.0,3.0,1525.6747579747223,105997.33483725239,105871.59804273774,-125.73679451465432,0.0,793273.3553522871,-2537.7142584413377,-0.003199041340944014
NIFTY_METAL,TATASTEEL,202855.29218151123,2.0,2.5,4.0,-3317.1971418214234,1.0,1.0,447.61326303030876,0.0,0.0,0.0,0.0,202855.29218151123,-3317.1971418214234,-0.016352529461510206
NIFTY_PHARMA,AUROPHARMA,228177.29306501668,2.0,4.0,5.0,1792.635027137032,2.0,0.0,509.21784599906897,0.0,0.0,0.0,0.0,228177.29306501668,1792.635027137032,0.007856325241908447
NIFTY_PHARMA,BIOCON,580076.1324409499,5.0,1.8,4.0,-22478.33451376739,0.0,5.0,1266.4980757195563,108664.7995350239,108535.89852453067,-128.90101049323857,0.0,688740.9319759738,-22607.235524260628,-0.0328240046070752
NIFTY_PHARMA,CIPLA,317990.02499251685,3.0,3.0,7.0,11549.574311501376,3.0,0.0,719.0397511266531,108664.7995350239,108535.89852453067,-128.90101049323857,0.0,426654.82452754077,11420.673301008137,0.026767945993942294
NIFTY_PHARMA,DIVISLAB,475720.9754816947,4.0,2.75,8.0,1691.37856870229,3.0,1.0,1059.5328439529915,0.0,0.0,0.0,0.0,475720.9754816947,1691.37856870229,0.0035554004466371754
NIFTY_PHARMA,DRREDDY,1018138.3581600718,9.0,1.6666666666666667,4.0,-10005.701561155962,4.0,5.0,2253.479082018205,108664.7995350239,108535.89852453067,-128.90101049323857,0.0,1126803.1576950958,-10134.6025716492,-0.008994119782535741
