bullish_sectors,weeks,first_date,last_date,average_selected_sectors,average_stock_slots
0,9,2020-02-28,2025-03-13,0.0,0.0
1,17,2020-04-09,2025-03-07,1.0,2.0
2,7,2022-03-25,2025-02-14,2.0,4.0
3,21,2020-04-30,2024-11-29,3.0,6.0
4,24,2021-04-16,2026-04-02,4.0,8.0
5,12,2021-03-26,2026-04-10,5.0,10.0
6,9,2020-02-14,2026-02-06,5.0,10.0
7,21,2020-01-31,2026-03-06,5.0,10.0
8,28,2020-07-03,2026-02-20,5.0,10.0
9,27,2020-11-20,2025-10-10,5.0,10.0
10,26,2020-11-27,2025-09-19,5.0,10.0
11,45,2020-01-03,2026-04-24,5.0,10.0
12,13,2021-10-22,2026-01-09,5.0,10.0
13,21,2021-10-01,2026-01-02,5.0,10.0
14,34,2023-06-16,2026-04-30,5.0,10.0
15,9,2024-06-07,2026-06-12,5.0,10.0
16,11,2025-05-16,2026-07-24,5.0,10.0
17,2,2026-07-31,2026-08-07,5.0,10.0
18,9,2025-05-23,2025-07-18,5.0,10.0
