index_name,regime,start_date,end_date,weeks,days,start_close,end_close,return_pct
NIFTY_AUTO,BULLISH,2020-01-03,2020-02-07,6,36,8168.15,8064.6,-1.2677289227058686
NIFTY_AUTO,BEARISH,2020-02-14,2020-04-24,11,71,7822.2,5377.25,-31.256551865204163
NIFTY_AUTO,BULLISH,2020-04-30,2021-03-19,47,324,5901.4,10186.5,72.61158369200528
NIFTY_AUTO,BEARISH,2021-03-26,2021-05-28,10,64,9771.5,10510.25,7.560251752545666
NIFTY_AUTO,BULLISH,2021-06-04,2021-07-16,7,43,10735.75,10428.45,-2.862398994015314
NIFTY_AUTO,BEARISH,2021-07-23,2021-09-24,10,64,10201.35,10429.05,2.2320575217985805
NIFTY_AUTO,BULLISH,2021-10-01,2021-11-18,8,49,10596.95,11747.45,10.856897503526962
NIFTY_AUTO,BEARISH,2021-11-26,2022-06-17,30,204,10759.6,10830.9,0.6626640395553718
NIFTY_AUTO,BULLISH,2022-06-24,2022-12-16,26,176,11583.25,12775.25,10.290721515982138
NIFTY_AUTO,BEARISH,2022-12-23,2023-01-27,6,36,12236.0,13089.7,6.97695325269696
NIFTY_AUTO,BULLISH,2023-02-03,2023-03-10,6,36,13377.95,12741.6,-4.75670786630239
NIFTY_AUTO,BEARISH,2023-03-17,2023-04-06,4,21,12245.95,12469.35,1.8242765975689856
NIFTY_AUTO,BULLISH,2023-04-13,2024-10-18,80,555,12918.65,25146.9,94.65578833701667
NIFTY_AUTO,BEARISH,2024-10-25,2025-04-25,27,183,23799.3,21994.5,-7.5834163189673625
NIFTY_AUTO,BULLISH,2025-05-02,2026-01-16,38,260,22286.5,27596.25,23.824961299441362
NIFTY_AUTO,BEARISH,2026-01-23,2026-02-06,3,15,26804.55,27519.55,2.6674575771650666
NIFTY_AUTO,BULLISH,2026-02-13,2026-03-06,4,22,28234.3,27076.4,-4.101040224124553
NIFTY_AUTO,BEARISH,2026-03-13,2026-04-30,8,49,24195.1,25917.6,7.119210087993033
NIFTY_AUTO,BULLISH,2026-05-08,2026-08-07,14,92,27259.85,29647.9,8.760319664268156
NIFTY_BANK,BULLISH,2020-01-03,2020-01-24,4,22,32069.25,31241.75,-2.5803534538537676
NIFTY_BANK,BEARISH,2020-01-31,2020-07-03,23,155,30833.6,21852.4,-29.127964298687136
NIFTY_BANK,BULLISH,2020-07-10,2021-03-19,37,253,22398.45,34161.6,52.51769653703715
NIFTY_BANK,BEARISH,2021-03-26,2021-07-09,16,106,33318.2,35071.95,5.263639692420363
NIFTY_BANK,BULLISH,2021-07-16,2021-11-18,19,126,35751.8,37976.25,6.221924490515152
NIFTY_BANK,BEARISH,2021-11-26,2022-01-07,7,43,36025.5,37739.6,4.7580186256956924
NIFTY_BANK,BULLISH,2022-01-14,2022-02-25,7,43,38370.4,36430.75,-5.055068490294601
NIFTY_BANK,BEARISH,2022-03-04,2022-07-15,20,134,34407.8,34682.65,0.7988014345584382
NIFTY_BANK,BULLISH,2022-07-22,2023-01-20,27,183,36738.95,42506.8,15.699550477082248
NIFTY_BANK,BEARISH,2023-01-27,2023-04-21,13,85,40345.3,42118.0,4.393820345864308
NIFTY_BANK,BULLISH,2023-04-28,2023-10-20,26,176,43233.9,43723.05,1.131403828939792
NIFTY_BANK,BEARISH,2023-10-27,2023-12-01,6,36,42782.0,44814.2,4.750128558739641
NIFTY_BANK,BULLISH,2023-12-08,2024-01-19,7,43,47262.0,45701.15,-3.3025475011637218
NIFTY_BANK,BEARISH,2024-01-25,2024-04-26,14,93,44866.15,48201.05,7.432997928282248
NIFTY_BANK,BULLISH,2024-05-03,2024-08-02,14,92,48923.55,51350.15,4.9599834844364254
NIFTY_BANK,BEARISH,2024-08-09,2024-09-13,6,36,50484.5,51938.05,2.879200546702454
NIFTY_BANK,BULLISH,2024-09-20,2024-09-27,2,8,53793.2,53834.3,0.07640370901900173
NIFTY_BANK,BEARISH,2024-10-04,2025-03-13,24,161,51462.05,48060.4,-6.610016507309757
NIFTY_BANK,BULLISH,2025-03-21,2025-08-01,20,134,50593.55,55617.6,9.930218377639033
NIFTY_BANK,BEARISH,2025-08-08,2025-10-03,9,57,55004.9,55589.25,1.0623598988453775
NIFTY_BANK,BULLISH,2025-10-10,2026-02-27,21,141,56609.75,60529.0,6.9232773506330725
NIFTY_BANK,BEARISH,2026-03-06,2026-06-05,14,92,57783.25,54496.25,-5.688499694980809
NIFTY_BANK,BULLISH,2026-06-12,2026-08-07,9,57,56814.8,57746.45,1.6398016009912864
NIFTY_CHEMICALS,BULLISH,2025-10-17,2025-10-17,1,1,29368.57,29368.57,0.0
NIFTY_CHEMICALS,BEARISH,2025-10-24,2026-04-24,27,183,29186.56,27844.95,-4.59667052232261
NIFTY_CHEMICALS,BULLISH,2026-04-30,2026-08-07,15,100,28480.5,30585.2,7.3899685749899025
NIFTY_CONSUMER_DURABLES,BULLISH,2021-08-13,2021-11-18,15,98,24260.4,29337.35,20.9269014525729
NIFTY_CONSUMER_DURABLES,BEARISH,2021-11-26,2022-07-08,32,225,27610.95,24298.15,-11.99813841972116
NIFTY_CONSUMER_DURABLES,BULLISH,2022-07-15,2022-11-11,18,120,24878.75,26493.8,6.491684670652664
NIFTY_CONSUMER_DURABLES,BEARISH,2022-11-18,2023-05-05,25,169,25921.8,24778.7,-4.409801788456047
NIFTY_CONSUMER_DURABLES,BULLISH,2023-05-12,2024-10-18,76,526,25084.8,42121.9,67.91802206914149
