date,NIFTY_AUTO,NIFTY_BANK,NIFTY_CHEMICALS,NIFTY_CONSUMER_DURABLES,NIFTY_FINANCIAL_SERVICES,NIFTY_FINANCIAL_SERVICES_EX_BANK,NIFTY_FMCG,NIFTY_HEALTHCARE,NIFTY_IT,NIFTY_MEDIA,NIFTY_METAL,NIFTY_OIL_GAS,NIFTY_PHARMA,NIFTY_PRIVATE_BANK,NIFTY_PSU_BANK,NIFTY_REALTY,NIFTY_MIDSMALL_FINANCIAL_SERVICES,NIFTY_MIDSMALL_HEALTHCARE,NIFTY_MIDSMALL_IT_TELECOM,available_sectors,bullish_sectors,bearish_sectors,selected_sectors_max_5,stock_slots_top_2_each
2020-01-03,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-01-10,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-01-17,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-01-24,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-01-31,1,-1,,,1,,1,,1,1,-1,,1,-1,-1,1,,,,11,7,4,5,10
2020-02-07,1,-1,,,1,,1,,1,1,-1,,1,-1,-1,1,,,,11,7,4,5,10
2020-02-14,-1,-1,,,1,,1,,1,1,-1,,1,-1,-1,1,,,,11,6,5,5,10
2020-02-20,-1,-1,,,1,,1,,1,1,-1,,1,-1,-1,1,,,,11,6,5,5,10
2020-02-28,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,-1,-1,-1,,,,11,0,11,0,0
2020-03-06,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,-1,-1,-1,,,,11,0,11,0,0
2020-03-13,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,-1,-1,-1,,,,11,0,11,0,0
2020-03-20,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,-1,-1,-1,,,,11,0,11,0,0
2020-03-27,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,-1,-1,-1,,,,11,0,11,0,0
2020-04-03,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,-1,-1,-1,,,,11,0,11,0,0
2020-04-09,-1,-1,,,-1,,-1,,-1,-1,-1,,1,-1,-1,-1,,,,11,1,10,1,2
2020-04-17,-1,-1,,,-1,,-1,,-1,-1,-1,,1,-1,-1,-1,,,,11,1,10,1,2
2020-04-24,-1,-1,,,-1,,-1,,-1,-1,-1,,1,-1,-1,-1,,,,11,1,10,1,2
2020-04-30,1,-1,,,-1,,-1,,-1,-1,1,,1,-1,-1,-1,,,,11,3,8,3,6
2020-05-08,1,-1,,,-1,,-1,,-1,-1,1,,1,-1,-1,-1,,,,11,3,8,3,6
2020-05-15,1,-1,,,-1,,-1,,-1,-1,1,,1,-1,-1,-1,,,,11,3,8,3,6
2020-05-22,1,-1,,,-1,,-1,,-1,-1,1,,1,-1,-1,-1,,,,11,3,8,3,6
2020-05-29,1,-1,,,-1,,-1,,-1,-1,1,,1,-1,-1,-1,,,,11,3,8,3,6
2020-06-05,1,-1,,,-1,,-1,,1,1,1,,1,-1,1,1,,,,11,7,4,5,10
2020-06-12,1,-1,,,-1,,-1,,1,1,1,,1,-1,1,1,,,,11,7,4,5,10
2020-06-19,1,-1,,,-1,,-1,,1,1,1,,1,-1,1,1,,,,11,7,4,5,10
2020-06-26,1,-1,,,-1,,-1,,1,1,1,,1,-1,1,1,,,,11,7,4,5,10
2020-07-03,1,-1,,,1,,-1,,1,1,1,,1,-1,1,1,,,,11,8,3,5,10
2020-07-10,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-07-17,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-07-24,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-07-31,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-08-07,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-08-14,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-08-21,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-08-28,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-09-04,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-09-11,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-09-18,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-09-25,1,1,,,1,,-1,,1,-1,-1,,1,1,-1,1,,,,11,7,4,5,10
2020-10-01,1,1,,,1,,-1,,1,-1,-1,,1,1,-1,1,,,,11,7,4,5,10
2020-10-09,1,1,,,1,,-1,,1,-1,-1,,1,1,-1,1,,,,11,7,4,5,10
2020-10-16,1,1,,,1,,-1,,1,-1,-1,,1,1,-1,1,,,,11,7,4,5,10
2020-10-23,1,1,,,1,,-1,,1,-1,-1,,1,1,-1,1,,,,11,7,4,5,10
2020-10-30,1,1,,,1,,-1,,1,-1,-1,,1,1,-1,1,,,,11,7,4,5,10
2020-11-06,1,1,,,1,,-1,,1,-1,-1,,1,1,-1,1,,,,11,7,4,5,10
2020-11-13,1,1,,,1,,-1,,1,-1,1,,1,1,-1,1,,,,11,8,3,5,10
2020-11-20,1,1,,,1,,-1,,1,-1,1,,1,1,1,1,,,,11,9,2,5,10
2020-11-27,1,1,,,1,,1,,1,-1,1,,1,1,1,1,,,,11,10,1,5,10
2020-12-04,1,1,,,1,,1,,1,-1,1,,1,1,1,1,,,,11,10,1,5,10
2020-12-11,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-12-18,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2020-12-24,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2021-01-01,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2021-01-08,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2021-01-15,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2021-01-22,1,1,,,1,,1,,1,1,1,,1,1,1,1,,,,11,11,0,5,10
2021-01-29,1,1,,,1,,1,,1,1,-1,,-1,-1,1,1,,,,11,8,3,5,10
2021-02-05,1,1,,,1,,1,,1,1,-1,,-1,1,1,1,,,,11,9,2,5,10
