universe,asset_class,active_days,total_return,annualized_return
NIFTY_AUTO,Cash,656,-1.0,-1.0
NIFTY_AUTO,Stocks,572,1.0935643592615705,0.3847440125356132
NIFTY_BANK,Cash,1228,0.0,0.0
NIFTY_CHEMICALS,Cash,1130,0.0,0.0
NIFTY_CHEMICALS,Stocks,98,0.17024478331081183,0.4981962050755251
NIFTY_CONSUMER_DURABLES,Cash,1228,0.0,0.0
NIFTY_FINANCIAL_SERVICES,Cash,993,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES,Stocks,235,-0.13139906310389016,-0.14020576765760073
NIFTY_FINANCIAL_SERVICES_EX_BANK,Cash,974,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES_EX_BANK,Stocks,254,0.21967432977425805,0.21776867311715065
NIFTY_FMCG,Cash,1228,0.0,0.0
NIFTY_HEALTHCARE,Cash,1130,0.0,0.0
NIFTY_HEALTHCARE,Stocks,98,0.3390983804936638,1.1187964989384165
NIFTY_IT,Cash,1005,-1.0,-1.0
NIFTY_IT,Stocks,223,-0.06319373275549289,-0.07111277817832595
NIFTY_MEDIA,Cash,1228,-1.0,-1.0
NIFTY_METAL,Cash,942,-1.0,-1.0
NIFTY_METAL,Stocks,286,-0.41874136731283484,-0.3800146271336686
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Cash,1219,-1.0,-1.0
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Stocks,9,0.002756879217738595,0.08013540458745427
NIFTY_MIDSMALL_HEALTHCARE,Cash,1054,-1.0,-1.0
NIFTY_MIDSMALL_HEALTHCARE,Stocks,174,-0.1110647666599901,-0.15676266125032168
NIFTY_MIDSMALL_IT_TELECOM,Cash,1228,0.0,0.0
NIFTY_OIL_GAS,Cash,1171,-1.0,-1.0
NIFTY_OIL_GAS,Stocks,57,-0.08519526077513517,-0.3254240605257235
NIFTY_PHARMA,Cash,936,-1.0,-1.0
NIFTY_PHARMA,Stocks,292,-0.0015966982944077834,-0.0013781232909898522
NIFTY_PRIVATE_BANK,Cash,1228,0.0,0.0
NIFTY_PSU_BANK,Cash,1040,-1.0,-1.0
NIFTY_PSU_BANK,Stocks,188,-0.1017287098050228,-0.13394345257553608
NIFTY_REALTY,Cash,1090,-1.0,-1.0
NIFTY_REALTY,Stocks,138,0.02204444458558985,0.040621142393758136
COMBINED,Combined,1228,1.0829880505141247,0.1625141934129799
