rebalance_date,beginning_value,ending_value,monthly_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings
2021-08-10,1000000.0,998813.774,-0.001186226000000068,0.0,998813.774,0.0,-1186.2260000000388,1000000.0,0.0,1186.2259999999999,0.0,1186.2259999999999,1.0,10
2021-08-11,998813.774,986160.9751373985,-0.012667825766889629,0.0,986160.9751373985,0.0,-13839.024862601596,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-12,986160.9751373985,1002708.6445919363,0.016779886724104243,0.0,1002708.6445919364,0.0,2708.6445919362523,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-13,1002708.6445919363,1003242.8044213078,0.000532716888651974,0.0,1003242.8044213078,0.0,3242.804421307803,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-16,1003242.8044213078,998621.3231395195,-0.004606543163251486,0.0,998621.3231395195,0.0,-1378.676860480453,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-17,998621.3231395195,997120.7331670525,-0.0015026616573231566,0.0,997120.7331670524,0.0,-2879.2668329475127,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-18,997120.7331670525,996196.4657987372,-0.0009269362651598279,0.0,996196.4657987372,0.0,-3803.5342012627952,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-20,996196.4657987372,959048.6111751106,-0.0372896872243389,0.0,959048.6111751106,0.0,-40951.3888248894,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-23,959048.6111751106,955246.0638825477,-0.003964916114005623,0.0,955246.0638825477,0.0,-44753.93611745228,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-24,955246.0638825477,973969.1144261681,0.019600238359027244,0.0,973969.1144261681,0.0,-26030.88557383186,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-25,973969.1144261681,971228.4326249431,-0.0028139309148830227,0.0,971228.432624943,0.0,-28771.567375056962,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-26,971228.4326249431,961849.4895118332,-0.009656783922358358,0.0,961849.4895118332,0.0,-38150.510488166874,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-27,961849.4895118332,970076.0981210935,0.00855290635277628,0.0,970076.0981210935,0.0,-29923.9018789065,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-30,970076.0981210935,986266.5669049122,0.016689895581570857,0.0,986266.5669049121,0.0,-13733.433095087865,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-31,986266.5669049122,992926.480419377,0.006752650589550768,0.0,992926.4804193769,0.0,-7073.519580623062,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-01,992926.480419377,992865.1299684738,-6.178750603691441e-05,0.0,992865.1299684738,0.0,-7134.870031526225,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-02,992865.1299684738,1000224.4046846719,0.007412159510961747,0.0,1000224.4046846719,0.0,224.4046846718411,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-03,1000224.4046846719,1007395.6018414114,0.007169588267545102,0.0,1007395.6018414113,0.0,7395.601841411408,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-06,1007395.6018414114,1010609.6203503471,0.0031904234077066995,0.0,1010609.6203503471,0.0,10609.620350347031,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-07,1010609.6203503471,997874.231321427,-0.012601689883483536,0.0,997874.231321427,0.0,-2125.768678573011,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-08,997874.231321427,995162.1468696492,-0.0027178619976852003,0.0,995162.1468696492,0.0,-4837.853130350908,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-09,995162.1468696492,997310.8110160297,0.002159109601524989,0.0,997310.8110160296,0.0,-2689.188983970438,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-13,997310.8110160297,1000917.0757157614,0.003615988776916712,0.0,1000917.0757157614,0.0,917.0757157614134,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-14,1000917.0757157614,1004556.9974806809,0.003636586739532488,0.0,1004556.9974806809,0.0,4556.997480680977,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-15,1004556.9974806809,1013122.326493523,0.008526473892793485,0.0,1013122.326493523,0.0,13122.326493522953,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-16,1013122.326493523,1026201.2788471761,0.012909549036314472,0.0,1026201.2788471761,0.0,26201.278847176043,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-17,1026201.2788471761,1006343.4903964709,-0.019350773439897995,0.0,1006343.4903964709,0.0,6343.490396470828,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-20,1006343.4903964709,971272.6097860931,-0.0348498111679153,0.0,971272.6097860931,0.0,-28727.39021390691,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-21,971272.6097860931,990019.2341143829,0.0193010943986347,0.0,990019.2341143829,0.0,-9980.765885617104,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-22,990019.2341143829,1016955.0610988948,0.02720737744919388,0.0,1016955.0610988948,0.0,16955.061098894803,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-23,1016955.0610988948,1042385.6639390076,0.02500661416900085,0.0,1042385.6639390076,0.0,42385.66393900762,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-24,1042385.6639390076,1038716.6262609267,-0.003519846641228841,0.0,1038716.6262609267,0.0,38716.62626092664,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-27,1038716.6262609267,1034843.9401537995,-0.003728337459146802,0.0,1034843.9401537995,0.0,34843.940153799485,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-28,1034843.9401537995,1025303.6067329412,-0.009219103529214623,0.0,1025303.6067329412,0.0,25303.606732941204,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-29,1025303.6067329412,1037222.7310309192,0.011624970613297148,0.0,1037222.7310309192,0.0,37222.73103091916,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-30,1037222.7310309192,1047418.9400195526,0.009830298434068352,0.0,1047418.9400195526,0.0,47418.94001955252,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-01,1047418.9400195526,1047424.9490168737,5.736956905755264e-06,0.0,1047424.9490168737,0.0,47424.9490168737,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-04,1047424.9490168737,1066165.3266300044,0.017891857197712024,0.0,1066165.3266300044,0.0,66165.3266300044,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-05,1066165.3266300044,1059667.0124761509,-0.006095034223626228,0.0,1059667.0124761509,0.0,59667.01247615086,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-06,1059667.0124761509,1038687.6664991418,-0.019798055172054574,0.0,1038687.6664991418,0.0,38687.66649914181,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-07,1038687.6664991418,1052875.4449809825,0.01365933084548887,0.0,1052875.4449809825,0.0,52875.4449809824,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-08,1052875.4449809825,1056306.0460695035,0.003258316171086184,0.0,1056306.0460695035,0.0,56306.04606950359,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-11,1056306.0460695035,1060443.1152243102,0.0039165440453556855,0.0,1060443.1152243102,0.0,60443.1152243102,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-12,1060443.1152243102,1069914.4996670876,0.008931534663954022,0.0,1069914.4996670876,0.0,69914.49966708766,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-13,1069914.4996670876,1077067.158513222,0.006685262091840061,0.0,1077067.158513222,0.0,77067.15851322177,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-14,1077067.158513222,1091017.4255165001,0.012952086499912419,0.0,1091017.4255165001,0.0,91017.42551650011,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-18,1091017.4255165001,1110794.3372465505,0.018127035616033016,0.0,1110794.3372465505,0.0,110794.33724655051,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-19,1110794.3372465505,1083376.8076078082,-0.024682813658111757,0.0,1083376.8076078082,0.0,83376.80760780822,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-20,1083376.8076078082,1075246.2922838188,-0.00750478990033232,0.0,1075246.2922838188,0.0,75246.29228381885,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-21,1075246.2922838188,1070072.2227483853,-0.004811985470271951,0.0,1070072.2227483853,0.0,70072.22274838525,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-22,1070072.2227483853,1064392.6444916895,-0.005307658806532056,0.0,1064392.6444916897,0.0,64392.64449168956,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-25,1064392.6444916895,1056321.3985708496,-0.007582959129423972,0.0,1056321.3985708496,0.0,56321.398570849655,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-26,1056321.3985708496,1080091.072755072,0.022502312474576014,0.0,1080091.0727550718,0.0,80091.07275507196,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-27,1080091.072755072,1084505.3767393802,0.0040869738632765,0.0,1084505.3767393802,0.0,84505.37673938021,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-28,1084505.3767393802,1052997.4247287922,-0.029052831536269808,0.0,1052997.424728792,0.0,52997.42472879203,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-29,1052997.4247287922,1048696.2439868252,-0.004084702052405076,0.0,1048696.243986825,0.0,48696.24398682511,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-11-01,1048696.2439868252,1077787.107935204,0.027740028740623757,0.0,1077787.1079352037,0.0,77787.10793520382,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-11-02,1077787.107935204,1084401.4457086239,0.006136961302210642,0.0,1084401.4457086239,0.0,84401.44570862383,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-11-03,1084401.4457086239,1082826.2427547672,-0.0014526013037794439,0.0,1082826.2427547672,0.0,82826.24275476715,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-11-04,1082826.2427547672,1087722.647947302,0.004521875254960728,0.0,1087722.647947302,0.0,87722.64794730203,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-11-08,1087722.647947302,1097754.771538694,0.00922305296329351,0.0,1097754.771538694,0.0,97754.77153869392,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-11-09,1097754.771538694,1100268.6672976094,0.0022900340076790204,0.0,1100268.6672976094,0.0,100268.66729760943,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-11-10,1100268.6672976094,1091648.289832736,-0.007834793192871836,0.0,1091648.289832736,0.0,91648.28983273587,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-11-11,1091648.289832736,1068733.9742098197,-0.02099056613410455,0.0,1068733.9742098197,0.0,68733.97420981963,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-11-12,1068733.9742098197,1085095.8115029642,0.01530955100893272,0.0,1085095.8115029642,0.0,85095.81150296418,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-11-15,1085095.8115029642,1078511.1302063465,-0.006068294824119969,0.0,1078511.1302063465,0.0,78511.13020634648,0.0,0.0,0.0,0.0,0.0,0.0,10
