date,universe,cash,stock_value,gold_value,total_value,holdings,month,year
2021-08-10,NIFTY_AUTO,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_FMCG,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_IT,0.0,199762.7548,0,199762.7548,"TECHM,INFY",2021-08,2021
2021-08-10,NIFTY_MEDIA,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_METAL,0.0,199762.7548,0,199762.7548,"TATASTEEL,SAIL",2021-08,2021
2021-08-10,NIFTY_OIL_GAS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_PHARMA,0.0,199762.7548,0,199762.7548,"DIVISLAB,SUNPHARMA,CIPLA",2021-08,2021
2021-08-10,NIFTY_PRIVATE_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_PSU_BANK,0.0,199762.7548,0,199762.7548,"IOB,SBIN",2021-08,2021
2021-08-10,NIFTY_REALTY,0.0,199762.7548,0,199762.7548,DLF,2021-08,2021
2021-08-10,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_AUTO,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_FMCG,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_IT,0.0,203095.2989961176,0,203095.2989961176,"TECHM,INFY",2021-08,2021
2021-08-11,NIFTY_MEDIA,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_METAL,0.0,200471.64628162707,0,200471.64628162707,"TATASTEEL,SAIL",2021-08,2021
2021-08-11,NIFTY_OIL_GAS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_PHARMA,0.0,197992.12933643744,0,197992.12933643744,"DIVISLAB,SUNPHARMA,CIPLA",2021-08,2021
2021-08-11,NIFTY_PRIVATE_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_PSU_BANK,0.0,191788.69372102935,0,191788.69372102935,"IOB,SBIN",2021-08,2021
2021-08-11,NIFTY_REALTY,0.0,192813.20680218696,0,192813.20680218696,DLF,2021-08,2021
2021-08-11,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_AUTO,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_FMCG,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_IT,0.0,208698.50423724987,0,208698.50423724987,"TECHM,INFY",2021-08,2021
2021-08-12,NIFTY_MEDIA,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_METAL,0.0,201303.63837995057,0,201303.63837995057,"TATASTEEL,SAIL",2021-08,2021
2021-08-12,NIFTY_OIL_GAS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_PHARMA,0.0,197448.52856879256,0,197448.52856879256,"DIVISLAB,SUNPHARMA,CIPLA",2021-08,2021
2021-08-12,NIFTY_PRIVATE_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_PSU_BANK,0.0,200990.87417533508,0,200990.87417533508,"IOB,SBIN",2021-08,2021
2021-08-12,NIFTY_REALTY,0.0,194267.09923060818,0,194267.09923060818,DLF,2021-08,2021
2021-08-12,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_AUTO,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_FMCG,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_IT,0.0,209788.14619517454,0,209788.14619517454,"TECHM,INFY",2021-08,2021
2021-08-13,NIFTY_MEDIA,0.0,0.0,0,0.0,,2021-08,2021
