universe,symbol,closed_invested_amount,closed_trades,average_closed_holding_days,max_closed_holding_days,realized_pnl,winning_trades,losing_trades,total_transaction_cost,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY_AUTO,BOSCHLTD,139648.6144883453,1.0,7.0,7.0,-10215.084850970161,0.0,1.0,299.9163313236287,0.0,0.0,0.0,0.0,139648.6144883453,-10215.084850970161,-0.07314848692482147
NIFTY_AUTO,EICHERMOT,139648.6144883453,1.0,7.0,7.0,-18550.14182975785,0.0,1.0,291.2703694001874,0.0,0.0,0.0,0.0,139648.6144883453,-18550.14182975785,-0.13283441370129737
NIFTY_AUTO,M&M,279602.55371967354,1.0,847.0,847.0,445010.3983529707,1.0,0.0,1083.313470385065,0.0,0.0,0.0,0.0,279602.55371967354,445010.3983529707,1.5915820239579546
NIFTY_AUTO,MARUTI,419251.1682080189,2.0,427.0,847.0,85431.44004354562,1.0,1.0,1020.8343489799333,0.0,0.0,0.0,0.0,419251.1682080189,85431.44004354562,0.2037715014813204
NIFTY_AUTO,TVSMOTOR,279602.55371967354,1.0,847.0,847.0,545479.5271977406,1.0,0.0,1187.5301859616804,0.0,0.0,0.0,0.0,279602.55371967354,545479.5271977406,1.9509103902700131
NIFTY_CHEMICALS,ATUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121298.63966450898,130642.7174880002,9344.077823491214,144.0,121298.63966450898,9344.077823491214,0.07703365717319925
NIFTY_CHEMICALS,LINDEINDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121298.63966450898,127088.68189176083,5790.042227251848,144.0,121298.63966450898,5790.042227251848,0.047733777091532946
NIFTY_CHEMICALS,NAVINFLUOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121298.63966450898,167610.75035018535,46312.110685676365,144.0,121298.63966450898,46312.110685676365,0.381802391302719
NIFTY_FINANCIAL_SERVICES,BAJAJFINSV,303149.2964894043,1.0,328.0,328.0,-48005.07983876858,0.0,1.0,624.2648973614234,0.0,0.0,0.0,0.0,303149.2964894043,-48005.07983876858,-0.15835458104203934
NIFTY_FINANCIAL_SERVICES,BAJAJHLDNG,291169.2541276099,1.0,349.0,349.0,-65747.19877333165,0.0,1.0,579.2230356178386,0.0,0.0,0.0,0.0,291169.2541276099,-65747.19877333165,-0.22580405671718629
