universe,asset_class,active_days,total_return,annualized_return
NIFTY_AUTO,Cash,656,-1.0,-1.0
NIFTY_AUTO,Stocks,572,1.093564359261567,0.3847440125356123
NIFTY_BANK,Cash,1228,0.0,0.0
NIFTY_CHEMICALS,Cash,1130,0.0,0.0
NIFTY_CHEMICALS,Stocks,98,0.1702447833108116,0.4981962050755242
NIFTY_CONSUMER_DURABLES,Cash,1228,0.0,0.0
NIFTY_FINANCIAL_SERVICES,Cash,993,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES,Stocks,235,-0.1313990631038897,-0.14020576765760018
NIFTY_FINANCIAL_SERVICES_EX_BANK,Cash,974,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES_EX_BANK,Stocks,254,0.21967432977425738,0.21776867311714998
NIFTY_FMCG,Cash,1228,0.0,0.0
NIFTY_HEALTHCARE,Cash,1130,0.0,0.0
NIFTY_HEALTHCARE,Stocks,98,0.3390983804936638,1.1187964989384165
NIFTY_IT,Cash,1005,-1.0,-1.0
NIFTY_IT,Stocks,223,0.07189877894589047,0.08162102154223394
NIFTY_MEDIA,Cash,1158,-1.0,-1.0
NIFTY_MEDIA,Stocks,70,-0.18060157417093303,-0.5118172258174467
NIFTY_METAL,Cash,942,-1.0,-1.0
NIFTY_METAL,Stocks,286,-0.40102102062136025,-0.36339046114793505
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Cash,1219,-1.0,-1.0
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Stocks,9,0.002756879217739261,0.08013540458747426
NIFTY_MIDSMALL_HEALTHCARE,Cash,1054,-1.0,-1.0
NIFTY_MIDSMALL_HEALTHCARE,Stocks,174,-0.045111569117009975,-0.06466781182593284
NIFTY_MIDSMALL_IT_TELECOM,Cash,1228,0.0,0.0
NIFTY_OIL_GAS,Cash,1171,-1.0,-1.0
NIFTY_OIL_GAS,Stocks,57,-0.08519526077513584,-0.3254240605257257
NIFTY_PHARMA,Cash,936,-1.0,-1.0
NIFTY_PHARMA,Stocks,292,-0.0015966982944075614,-0.0013781232909897412
NIFTY_PRIVATE_BANK,Cash,1228,0.0,0.0
NIFTY_PSU_BANK,Cash,1040,-1.0,-1.0
NIFTY_PSU_BANK,Stocks,188,-0.1449503995960335,-0.18933875128929967
NIFTY_REALTY,Cash,1090,-1.0,-1.0
NIFTY_REALTY,Stocks,138,0.07651511255991061,0.14411991080632558
COMBINED,Combined,1228,1.0866789056011674,0.16293660426179524
