date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold
2021-08-09,2021-08-10,NIFTY_IT,JUSTDIAL,4,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_IT,WIPRO,5,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_IT,HCLTECH,6,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_IT,TCS,7,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,APLAPOLLO,4,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,VEDL,5,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,JSWSTEEL,6,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,HINDALCO,7,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,NATIONALUM,8,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,NMDC,9,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,RATNAMANI,10,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,JINDALSTEL,11,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,HINDZINC,12,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,COALINDIA,13,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,WELCORP,14,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PHARMA,LUPIN,4,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PHARMA,GLENMARK,5,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PHARMA,BIOCON,6,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PHARMA,AUROPHARMA,7,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PHARMA,DRREDDY,8,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,INDIANB,4,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,CENTRALBK,5,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
