date,universe,cash,stock_value,gold_value,total_value,holdings,month,year
2021-08-10,NIFTY_AUTO,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_FMCG,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_IT,0.0,199762.7548,0,199762.7548,"TATAELXSI,TECHM,INFY",2021-08,2021
2021-08-10,NIFTY_MEDIA,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_METAL,0.0,199762.7548,0,199762.7548,"TATASTEEL,HINDCOPPER,SAIL",2021-08,2021
2021-08-10,NIFTY_OIL_GAS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_PHARMA,0.0,199762.7548,0,199762.7548,"DIVISLAB,SUNPHARMA,CIPLA",2021-08,2021
2021-08-10,NIFTY_PRIVATE_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_PSU_BANK,0.0,199762.7548,0,199762.7548,"IOB,J&KBANK,SBIN",2021-08,2021
2021-08-10,NIFTY_REALTY,0.0,199762.7548,0,199762.7548,"IBREALEST,BRIGADE,DLF",2021-08,2021
2021-08-10,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-10,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_AUTO,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_FMCG,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_IT,0.0,200499.37550145917,0,200499.37550145917,"TATAELXSI,TECHM,INFY",2021-08,2021
2021-08-11,NIFTY_MEDIA,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_METAL,0.0,195434.51389541602,0,195434.51389541602,"TATASTEEL,HINDCOPPER,SAIL",2021-08,2021
2021-08-11,NIFTY_OIL_GAS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_PHARMA,0.0,197992.12933643744,0,197992.12933643744,"DIVISLAB,SUNPHARMA,CIPLA",2021-08,2021
2021-08-11,NIFTY_PRIVATE_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_PSU_BANK,0.0,190572.19900113388,0,190572.19900113388,"IOB,J&KBANK,SBIN",2021-08,2021
2021-08-11,NIFTY_REALTY,0.0,196336.55577232476,0,196336.55577232476,"IBREALEST,BRIGADE,DLF",2021-08,2021
2021-08-11,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-11,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_AUTO,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_FMCG,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_IT,0.0,205760.25523362297,0,205760.25523362297,"TATAELXSI,TECHM,INFY",2021-08,2021
2021-08-12,NIFTY_MEDIA,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_METAL,0.0,198269.56895885704,0,198269.56895885704,"TATASTEEL,HINDCOPPER,SAIL",2021-08,2021
2021-08-12,NIFTY_OIL_GAS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_PHARMA,0.0,197448.52856879256,0,197448.52856879256,"DIVISLAB,SUNPHARMA,CIPLA",2021-08,2021
2021-08-12,NIFTY_PRIVATE_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_PSU_BANK,0.0,200491.39914279844,0,200491.39914279844,"IOB,J&KBANK,SBIN",2021-08,2021
2021-08-12,NIFTY_REALTY,0.0,202220.19901282078,0,202220.19901282078,"IBREALEST,BRIGADE,DLF",2021-08,2021
2021-08-12,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
2021-08-12,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_AUTO,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_CHEMICALS,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_CONSUMER_DURABLES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_FMCG,0.0,0.0,0,0.0,,2021-08,2021
2021-08-13,NIFTY_HEALTHCARE,0.0,0.0,0,0.0,,2021-08,2021
