universe,symbol,closed_invested_amount,closed_trades,average_closed_holding_days,max_closed_holding_days,realized_pnl,winning_trades,losing_trades,total_transaction_cost,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY_AUTO,BOSCHLTD,152701.90719550726,1.0,7.0,7.0,-11169.913461885852,0.0,1.0,327.950233949653,0.0,0.0,0.0,0.0,152701.90719550726,-11169.913461885852,-0.07314848692482138
NIFTY_AUTO,EICHERMOT,152701.90719550726,1.0,7.0,7.0,-20284.068313385127,0.0,1.0,318.49611311869114,0.0,0.0,0.0,0.0,152701.90719550726,-20284.068313385127,-0.13283441370129737
NIFTY_AUTO,M&M,276210.1956658755,1.0,847.0,847.0,439611.18225571694,1.0,0.0,1070.1698594732234,0.0,0.0,0.0,0.0,276210.1956658755,439611.18225571694,1.591582023957955
NIFTY_AUTO,MARUTI,428912.10286138277,2.0,427.0,847.0,81647.97741716573,1.0,1.0,1038.3911077448868,0.0,0.0,0.0,0.0,428912.10286138277,81647.97741716573,0.1903606283722728
NIFTY_AUTO,TVSMOTOR,276210.1956658755,1.0,847.0,847.0,538861.34062307,1.0,0.0,1173.122135903188,0.0,0.0,0.0,0.0,276210.1956658755,538861.34062307,1.9509103902700136
NIFTY_CHEMICALS,ATUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121513.56922262452,130874.20385601198,9360.634633387468,144.0,121513.56922262452,9360.634633387468,0.07703365717319921
NIFTY_CHEMICALS,LINDEINDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121513.56922262452,127313.8708494938,5800.301626869288,144.0,121513.56922262452,5800.301626869288,0.04773377709153271
NIFTY_CHEMICALS,NAVINFLUOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121513.56922262452,167907.74052755098,46394.171304926465,144.0,121513.56922262452,46394.171304926465,0.3818023913027186
NIFTY_FINANCIAL_SERVICES,BAJAJFINSV,303686.44797368883,1.0,328.0,328.0,-48090.140237018524,0.0,1.0,625.3710348985633,0.0,0.0,0.0,0.0,303686.44797368883,-48090.140237018524,-0.15835458104203917
NIFTY_FINANCIAL_SERVICES,BAJAJHLDNG,291685.1781255999,1.0,349.0,349.0,-65863.6965050356,0.0,1.0,580.249363295049,0.0,0.0,0.0,0.0,291685.1781255999,-65863.6965050356,-0.22580405671718642
NIFTY_FINANCIAL_SERVICES,BAJFINANCE,291685.1781255999,1.0,349.0,349.0,1087.9486919369083,1.0,0.0,649.6983636507696,0.0,0.0,0.0,0.0,291685.1781255999,1087.9486919369083,0.0037298730738674576
NIFTY_FINANCIAL_SERVICES,KOTAKBANK,291685.1781255999,1.0,21.0,21.0,12001.269848088908,1.0,0.0,661.0187612694672,0.0,0.0,0.0,0.0,291685.1781255999,12001.269848088908,0.04114459954808245
NIFTY_FINANCIAL_SERVICES_EX_BANK,BAJFINANCE,284072.3898906047,1.0,50.0,50.0,23426.33255355747,1.0,0.0,655.9427495885536,0.0,0.0,0.0,0.0,284072.3898906047,23426.33255355747,0.08246606635223813
NIFTY_FINANCIAL_SERVICES_EX_BANK,BSE,284072.3898906047,1.0,378.0,378.0,245031.66059554898,1.0,0.0,885.8141509669591,0.0,0.0,0.0,0.0,284072.3898906047,245031.66059554898,0.8625676739999611
NIFTY_FINANCIAL_SERVICES_EX_BANK,CHOLAFIN,307498.7224441622,1.0,298.0,298.0,-23625.992980511917,0.0,1.0,659.2244110826211,0.0,0.0,0.0,0.0,307498.7224441622,-23625.992980511917,-0.07683281671130225
NIFTY_FINANCIAL_SERVICES_EX_BANK,SBICARD,284072.3898906047,1.0,378.0,378.0,-48536.54767581247,0.0,1.0,581.2955907331624,0.0,0.0,0.0,0.0,284072.3898906047,-48536.54767581247,-0.17085978575567914
NIFTY_HEALTHCARE,LAURUSLABS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121513.56922262452,224386.18696303398,102872.61774040946,144.0,121513.56922262452,102872.61774040946,0.8465936635598035
NIFTY_HEALTHCARE,LUPIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121513.56922262452,125831.56880886455,4317.999586240039,144.0,121513.56922262452,4317.999586240039,0.03553512265226157
NIFTY_HEALTHCARE,TORNTPHARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121513.56922262452,137359.0523036209,15845.48308099639,144.0,121513.56922262452,15845.48308099639,0.1304009353224243
NIFTY_IT,HCLTECH,213021.53979389544,1.0,126.0,126.0,-30049.50514197818,0.0,1.0,442.4887412830042,0.0,0.0,0.0,0.0,213021.53979389544,-30049.50514197818,-0.14106322379911418
NIFTY_IT,INFY,279688.2064605621,2.0,164.0,202.0,-13162.680555329556,1.0,1.0,608.2405844650434,0.0,0.0,0.0,0.0,279688.2064605621,-13162.680555329556,-0.047061979201420426
NIFTY_IT,TATAELXSI,66666.66666666667,1.0,202.0,202.0,33039.11291067225,1.0,0.0,182.50662604451549,0.0,0.0,0.0,0.0,66666.66666666667,33039.11291067225,0.49558669366008373
NIFTY_IT,TECHM,279688.2064605621,2.0,164.0,202.0,-18895.179524426014,1.0,1.0,602.2942582504645,0.0,0.0,0.0,0.0,279688.2064605621,-18895.179524426014,-0.06755801313020454
NIFTY_MEDIA,NETWORK18,64484.01790244105,1.0,105.0,105.0,-8148.071895407549,0.0,1.0,134.92994488427053,0.0,0.0,0.0,0.0,64484.01790244105,-8148.071895407549,-0.12635800560279764
NIFTY_MEDIA,SAREGAMA,64484.01790244105,1.0,105.0,105.0,-7611.531331147191,0.0,1.0,135.4864988827354,0.0,0.0,0.0,0.0,64484.01790244105,-7611.531331147191,-0.11803748554661721
NIFTY_MEDIA,TVTODAY,64484.01790244105,1.0,105.0,105.0,-19108.31237553856,0.0,1.0,123.56087780960777,0.0,0.0,0.0,0.0,64484.01790244105,-19108.31237553856,-0.29632633010628845
NIFTY_METAL,HINDCOPPER,66666.66666666667,1.0,273.0,273.0,-20977.644572791265,0.0,1.0,126.47499607265678,121513.56922262452,133741.37447553457,12227.805252910053,144.0,188180.2358892912,-8749.839319881212,-0.0464971216479336
NIFTY_METAL,NATIONALUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121513.56922262452,120561.41745576514,-952.1517668593733,144.0,121513.56922262452,-952.1517668593733,-0.007835764951607503
NIFTY_METAL,SAIL,66666.66666666667,1.0,199.0,199.0,-20433.095817635323,0.0,1.0,127.03985697456994,0.0,0.0,0.0,0.0,66666.66666666667,-20433.095817635323,-0.30649643726452985
NIFTY_METAL,TATASTEEL,66666.66666666667,1.0,279.0,279.0,-14681.350991986881,0.0,1.0,133.00614693305084,0.0,0.0,0.0,0.0,66666.66666666667,-14681.350991986881,-0.2202202648798032
NIFTY_METAL,VEDL,167747.14007165586,2.0,52.0,55.0,-82626.59584791254,0.0,2.0,287.28163424966255,0.0,0.0,0.0,0.0,167747.14007165586,-82626.59584791254,-0.49256634606478106
NIFTY_METAL,WELCORP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49629.9184647036,71648.97042799841,22019.051963294813,77.0,49629.9184647036,22019.051963294813,0.44366488288620876
NIFTY_MIDSMALL_FINANCIAL_SERVICES,MUTHOOTFIN,426108.5848359071,1.0,14.0,14.0,30526.68818163121,1.0,0.0,979.1292518462362,0.0,0.0,0.0,0.0,426108.5848359071,30526.68818163121,0.0716406316793334
NIFTY_MIDSMALL_FINANCIAL_SERVICES,PAYTM,426108.5848359071,1.0,14.0,14.0,-7688.323476645513,0.0,1.0,939.4887866949849,0.0,0.0,0.0,0.0,426108.5848359071,-7688.323476645513,-0.01804310861187239
NIFTY_MIDSMALL_HEALTHCARE,AJANTPHARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182270.35383393677,208385.68213426325,26115.32830032648,144.0,182270.35383393677,26115.32830032648,0.14327798103755088
NIFTY_MIDSMALL_HEALTHCARE,COHANCE,319532.30969084316,1.0,112.0,112.0,-36824.79111142026,0.0,1.0,672.2902908744754,0.0,0.0,0.0,0.0,319532.30969084316,-36824.79111142026,-0.11524590783025766
NIFTY_MIDSMALL_HEALTHCARE,GRANULES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109745.55627001445,105074.21080790133,-4671.345462113124,16.0,109745.55627001445,-4671.345462113124,-0.042565235631225884
NIFTY_MIDSMALL_HEALTHCARE,PPLPHARMA,319532.30969084316,1.0,112.0,112.0,-60482.503850600304,0.0,1.0,647.7501246753461,0.0,0.0,0.0,0.0,319532.30969084316,-60482.503850600304,-0.1892844698838715
NIFTY_MIDSMALL_HEALTHCARE,SAILIFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109745.55627001445,117164.758865443,7419.202595428549,16.0,109745.55627001445,7419.202595428549,0.06760367205369647
NIFTY_MIDSMALL_HEALTHCARE,TORNTPHARM,0.0,1.0,128.0,128.0,37220.758706092136,1.0,0.0,227.67832378164294,0.0,0.0,0.0,0.0,0.0,37220.758706092136,0.0
NIFTY_OIL_GAS,OIL,199104.48447988552,1.0,84.0,84.0,-4892.096620115917,0.0,1.0,437.6395966791936,0.0,0.0,0.0,0.0,199104.48447988552,-4892.096620115917,-0.024570499418410337
NIFTY_OIL_GAS,ONGC,199104.48447988552,1.0,84.0,84.0,-30726.469041078555,0.0,1.0,410.8415794807397,0.0,0.0,0.0,0.0,199104.48447988552,-30726.469041078555,-0.15432333993553365
NIFTY_PHARMA,AUROPHARMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182270.35383393677,223009.3335887701,40738.97975483333,144.0,182270.35383393677,40738.97975483333,0.22350853497519338
NIFTY_PHARMA,CIPLA,66666.66666666667,1.0,174.0,174.0,1659.4881252002378,1.0,0.0,149.95651369884945,0.0,0.0,0.0,0.0,66666.66666666667,1659.4881252002378,0.024892321878003564
NIFTY_PHARMA,DIVISLAB,279688.2064605621,2.0,99.5,174.0,-3861.8600947721498,1.0,1.0,617.8883336961999,0.0,0.0,0.0,0.0,279688.2064605621,-3861.8600947721498,-0.013807733059765955
NIFTY_PHARMA,GLENMARK,213021.53979389544,1.0,25.0,25.0,-24183.35505730749,0.0,1.0,448.57370391713266,182270.35383393677,190945.2617654479,8674.907931511145,144.0,395291.8936278322,-15508.447125796345,-0.03923289947452747
NIFTY_PHARMA,LUPIN,213021.53979389544,1.0,112.0,112.0,-13292.794687897695,0.0,1.0,459.87049175175537,0.0,0.0,0.0,0.0,213021.53979389544,-13292.794687897695,-0.062401176429195196
NIFTY_PHARMA,SUNPHARMA,476660.4019088762,2.0,130.5,174.0,-10980.445419403579,1.0,1.0,1048.4771897133696,0.0,0.0,0.0,0.0,476660.4019088762,-10980.445419403579,-0.023036202242582602
